Guideline,gcc,cppcheck,cppcheck misra addon,clang-tidy
D1.1,,,,
D2.1,-Werror -Wall -Wextra,,,
D3.1,,,,
D4.1,,,,
D4.2,,,,
D4.3,,,,
D4.4,,,,
D4.5,,,,
D4.6,,,,
D4.7," -Wunused-results",,,
D4.8,,,,
D4.9,,,,
D4.10,,,,
D4.11,,,,
D4.12,,,,
D4.13,,,,
D4.14,,,,
R1.1,,,,
R1.2,-pedantic -std=c99/c11,,,
R1.3,-Wimplicit-function-declaration -Wbuiltin-declaration-mismatch -Wsequence-point,multiple,,
R1.4,,,,
R2.1,-Wno-switch-unreachable,unreachableCode alwaysFalse alwaysTrue duplicateBreak multiCondition knownConditionTrueFalse,,
R2.2,,misra-addon,x,
R2.3,-Wunused-variable -Wunused -Wunused-local -typedefs,misra-addon,x,
R2.4,,misra-addon,x,
R2.5,--warn-unused-macros -Wunused-macros,misra-addon,x,
R2.6,-Wunused-label,UnusedLabel,,
R2.7,-Wunused-parameter,,x,
R3.1,-Wcomment -Wcomments,,x,
R3.2,,,x,
R4.1,,,x,
R4.2,-Wtrigraphs,,x,
R5.1,,,x,
R5.2,,,x,
R5.3,-Wshadow,shadowVariable,,
R5.4,,,x,
R5.5,,,x,
R5.6,,,x,
R5.7,,,x,
R5.8,,,x,
R5.9,,,x,
R6.1,,,x,
R6.2,,,x,
R7.1,,,x,
R7.2,,,x,
R7.3,,,x,
R7.4,,,x,
R8.1,-Wimplicit-int,,x,
R8.2,,,x,
R8.3,checks for conflicting types,funcArgNamesDifferent,,
R8.4,-Wmissing-declarations,,x,
R8.5,,,x,
R8.6,gcc checks for duplicate global variable definitions,,x,
R8.7,,,x,
R8.8,,,x,
R8.9,-Wdeclaration-after-statement,,x,
R8.10,,,x,
R8.11,,,x,
R8.12,,,x,
R8.13,,constPointer,,
R8.14,,,x,
R9.1,-Wuninitialized -Wmaybe-uninitialized -Winit-self,uninitvar,,
R9.2,,,x,
R9.3,,,x,
R9.4,,,x,
R9.5,,,x,
R10.1,-Wint-in-bool-context -Wshift-count-negative -Wconversion,,x,
R10.2,,,x,
R10.3,,,x,
R10.4,,,x,
R10.5,,,x,
R10.6,,,x,
R10.7,,,x,
R10.8,,,x,
R11.1,,,x,
R11.2,,,x,
R11.3,,,x,
R11.4,,,x,
R11.5,,,x,
R11.6,,,x,
R11.7,,,x,
R11.8,--Wdiscarded-qualifier -Wcast-qual,,x,
R11.9,,,x,
R12.1," -Wparentheses",,x,
R12.2,,,x,
R12.3,,,x,
R12.4,,,x,
R12.5,,,,
R13.1,,,x,
R13.2,,unknownEvaluationOrder,,
R13.3,-Wsequence-point,,x,
R13.4,,,x,
R13.5,,,x,
R13.6,,sizeofCalculation,x,
R14.1,,,x,
R14.2,,,x,
R14.3,,duplicateExpression comparisonFunctionIsAlwaysTrueOrFalse alwaysTrue alwaysFalse compareValueOutOfTypeRangeError,,
R14.4,,,x,
R15.1,,,x,
R15.2,,,x,
R15.3,,,x,
R15.4,,,x,
R15.5,,,x,
R15.6,"-Wmisleading-indentation ",,x,
R15.7,x,,x,
R16.1,x,,x,
R16.2,"-Wno-implicit-fallthrough ",,x,
R16.3,,,x,
R16.4,-Wswitch-default,,x,
R16.5,,,x,
R16.6,,,x,
R16.7,,,x,
R17.1,,,x,
R17.2,,,x,
R17.3,-Wimplicit-function-declaration,,,
R17.4,,missingReturn,,
R17.5,,argumentSize,,
R17.6,,,x,
R17.7," -Wunused-results",,x,
R17.8,,,x,
R18.1,,arrayIndexOutOfBounds pointerOutOfBounds,,
R18.2,,comparePointers,,
R18.3,,comparePointers,,
R18.4,,,x,
R18.5,,,x,
R18.6,-Wreturn-local-addr,danglingLifetime,,
R18.7,,,x,
R18.8,-Wvla,,x,
R19.1,-Wrestrict,overlappingWriteUnion overlappingWriteFunction,,
R19.2,,,x,
R20.1,,,x,
R20.2,,,x,
R20.3,,,x,
R20.4,,,x,
R20.5,,,x,
R20.6,,preprocessorErrorDirective,,
R20.7,,,x,
R20.8,,,x,
R20.9,,,x,
R20.10,,,x,
R20.11,,,x,
R20.12,,,x,
R20.13,,,x,
R20.14,,,x,
R21.1,,,x,
R21.2,,,x,
R21.3,,,x,
R21.4,,,x,
R21.5,,,x,
R21.6,,,x,
R21.7,,,x,
R21.8,,,x,
R21.9,,,x,
R21.10,,,x,
R21.11,,,x,
R21.12,,,x,
R21.13,,invalidFunctionArg,,
R21.14,,,x,
R21.15,,,x,
R21.16,,,x,
R21.17,,bufferAccessOutOfBounds,,
R21.18,,bufferAccessOutOfBounds,,
R21.19,,,x,
R21.20,,,x,
R21.21,,,x,
R22.1,,memleak resourceLeak memleakOnRealloc leakReturnValNotUsed leakNoVarFunctionCall,,
R22.2,,autovarInvalidDeallocation,,
R22.3,,incompatibleFileOpen,,
R22.4,,writeReadOnlyFile,,
R22.5,,,x,
R22.6,,useClosedFile,,
R22.7,,,x,
R22.8,,,x,
R22.9,,,x,
R22.10,,,x,
