Guideline, Original Category, Requilification, Rationale
D1.1,Required,,
D2.1,Required,,
D3.1,Required,,
D4.1,Required,,
D4.2,Advisory,,
D4.3,Required,,
D4.4,Advisory,,
D4.5,Advisory,,
D4.6,Advisory,,
D4.7,Required,,
D4.8,Advisory,,
D4.9,Advisory,,
D4.10,Required,,
D4.11,Required,,
D4.12,Required,,
D4.13,Advisory,,
D4.14,Required,,
R1.1,Required,,
R1.2,Advisory,,
R1.3,Required,,
R1.4,Required,,
R2.1,Required,,
R2.2,Required,,
R2.3,Advisory,,
R2.4,Advisory,,
R2.5,Advisory,,
R2.6,Advisory,,
R2.7,Advisory,,
R3.1,Required,,
R3.2,Required,,
R4.1,Required,,
R4.2,Advisory,,
R5.1,Required,,
R5.2,Required,,
R5.3,Required,,
R5.4,Required,,
R5.5,Required,,
R5.6,Required,,
R5.7,Required,,
R5.8,Required,,
R5.9,Advisory,,
R6.1,Required,,
R6.2,Required,,
R7.1,Required,,
R7.2,Required,,
R7.3,Required,,
R7.4,Required,,
R8.1,Required,,
R8.2,Required,,
R8.3,Required,,
R8.4,Required,,
R8.5,Required,,
R8.6,Required,,
R8.7,Advisory,,
R8.8,Required,,
R8.9,Advisory,,
R8.10,Required,,
R8.11,Advisory,,
R8.12,Required,,
R8.13,Advisory,,
R8.14,Required,,
R9.1,Mandatory,,
R9.2,Required,,
R9.3,Required,,
R9.4,Required,,
R9.5,Required,,
R10.1,Required,,
R10.2,Required,,
R10.3,Required,,
R10.4,Required,,
R10.5,Advisory,,
R10.6,Required,,
R10.7,Required,,
R10.8,Required,,
R11.1,Required,,
R11.2,Required,,
R11.3,Required,,
R11.4,Advisory,,
R11.5,Advisory,,
R11.6,Required,,
R11.7,Required,,
R11.8,Required,,
R11.9,Required,,
R12.1,Advisory,,
R12.2,Required,,
R12.3,Advisory,,
R12.4,Advisory,,
R12.5,Mandatory,,
R13.1,Required,,
R13.2,Required,,
R13.3,Advisory,,
R13.4,Advisory,,
R13.5,Required,,
R13.6,Mandatory,,
R14.1,Required,,
R14.2,Required,,
R14.3,Required,,
R14.4,Required,,
R15.1,Advisory,,
R15.2,Required,,
R15.3,Required,,
R15.4,Advisory,,
R15.5,Advisory,,
R15.6,Required,,
R15.7,Required,,
R16.1,Required,,
R16.2,Required,,
R16.3,Required,,
R16.4,Required,,
R16.5,Required,,
R16.6,Required,,
R16.7,Required,,
R17.1,Required,,
R17.2,Required,,
R17.3,Mandatory,,
R17.4,Mandatory,,
R17.5,Advisory,,
R17.6,Mandatory,,
R17.7,Required,,
R17.8,Advisory,,
R18.1,Required,,
R18.2,Required,,
R18.3,Required,,
R18.4,Advisory,,
R18.5,Advisory,,
R18.6,Required,,
R18.7,Required,,
R18.8,Required,,
R19.1,Mandatory,,
R19.2,Advisory,,
R20.1,Advisory,,
R20.2,Required,,
R20.3,Required,,
R20.4,Required,,
R20.5,Advisory,,
R20.6,Required,,
R20.7,Required,,
R20.8,Required,,
R20.9,Required,,
R20.10,Advisory,,
R20.11,Required,,
R20.12,Required,,
R20.13,Required,,
R20.14,Required,,
R21.1,Required,,
R21.2,Required,,
R21.3,Required,,
R21.4,Required,,
R21.5,Required,,
R21.6,Required,,
R21.7,Required,,
R21.8,Required,,
R21.9,Required,,
R21.10,Required,,
R21.11,Required,,
R21.12,Advisory,,
R21.13,Mandatory,,
R21.14,Required,,
R21.15,Required,,
R21.16,Required,,
R21.17,Mandatory,,
R21.18,Mandatory,,
R21.19,Mandatory,,
R21.20,Mandatory,,
R21.21,Required,,
R22.1,Required,,
R22.2,Mandatory,,
R22.3,Required,,
R22.4,Mandatory,,
R22.5,Mandatory,,
R22.6,Mandatory,,
R22.7,Required,,
R22.8,Required,,
R22.9,Required,,
R22.10,Required,,
